menu_type,Item Name,Net Sales
Rotating: GF Muffin Flavor,GFM: Ube,56602.03999999999
Rotating: GF Muffin Flavor,GFM: Pandan,26994.690000000002
Rotating: GF Muffin Flavor,GFM: Chocolate,15669.830000000002
Rotating: GF Muffin Flavor,GFM: Pandan Muffin,3157.33
Rotating: GF Muffin Flavor,chocolate muffin,1826.3600000000001
Rotating: GF Muffin Flavor,GFM: Hojicha,1371.18
Rotating: GF Muffin Flavor,GFM: Matcha,1177.03
Rotating: GF Muffin Flavor,GFM: Lemon,911.82
Rotating: GF Muffin Flavor,GFD: Matcha Coconut,278.37
Rotating: Mochi Donut Flavor,MD: Dubai Chocolate,18300.15
Rotating: Mochi Donut Flavor,MD: Cinnamon Sugar Nutella,12623.94
Rotating: Mochi Donut Flavor,MD: Thai Tea Oreo,10929.939999999999
Rotating: Mochi Donut Flavor,MD: Strawberry Passionfruit,10721.24
Rotating: Mochi Donut Flavor,MD: Tiramisu,10068.54
Rotating: Mochi Donut Flavor,MD: Passionfruit,9494.86
Rotating: Mochi Donut Flavor,Ube Mochi Muffin,8434.74
Rotating: Mochi Donut Flavor,MD: Guava Cream Cheese,7728.16
Rotating: Mochi Donut Flavor,MD: Raspberry Lychee,7307.83
Rotating: Mochi Donut Flavor,MD: POG,7040.83
Rotating: Mochi Donut Flavor,MD: Raspberry Yuzu,7020.12
Rotating: Mochi Donut Flavor,MD: Earl Grey Chocolate,6572.41
Rotating: Mochi Donut Flavor,MD: Lemon Blueberry,6492.83
Rotating: Mochi Donut Flavor,MD: Triple Berry,6478.110000000001
Rotating: Mochi Donut Flavor,MD: Cookie Butter,6205.59
Rotating: Mochi Donut Flavor,MD: Okinawa Milk Tea,6028.41
Rotating: Mochi Donut Flavor,MD: Blueberry Cornflakes,5982.24
Rotating: Mochi Donut Flavor,MD: Flan,5900.02
Rotating: Mochi Donut Flavor,MD: Taro Lavender,5812.93
Rotating: Mochi Donut Flavor,Pandan Mochi Muffin,5795.1900000000005
Rotating: Mochi Donut Flavor,MD: Key Lime Pie,5718.79
Rotating: Mochi Donut Flavor,MD: Mexican Hot Chocolate,5550.94
Rotating: Mochi Donut Flavor,MD: Raspberry Drop,5502.52
Rotating: Mochi Donut Flavor,MD: Green Thai Tea,5448.3099999999995
Rotating: Mochi Donut Flavor,Matcha Mochi Muffin,5401.63
Rotating: Mochi Donut Flavor,Chocolate Mochi Muffin,5376.65
Rotating: Mochi Donut Flavor,MD: Yuzu Lemon,5114.74
Rotating: Mochi Donut Flavor,MD: Blood Orange,5039.6900000000005
Rotating: Mochi Donut Flavor,MD: Calamansi,4977.96
Rotating: Mochi Donut Flavor,MD: Mango Calpico,4952.43
Rotating: Mochi Donut Flavor,MD: smores,4926.38
Rotating: Mochi Donut Flavor,MD: Dole Whip,4827.15
Rotating: Mochi Donut Flavor,MD: Yogurt Parfait,4422.92
Rotating: Mochi Donut Flavor,MD: Dalgona,4415.4400000000005
Rotating: Mochi Donut Flavor,MD: Matcha Raspberry,4374.530000000001
Rotating: Mochi Donut Flavor,MD: Guava strawberry,4173.78
Rotating: Mochi Donut Flavor,MD: Matcha Sakura Crunch,4164.59
Rotating: Mochi Donut Flavor,MD: Matcha Tea-ramisu,4116.47
Rotating: Mochi Donut Flavor,MD: Honey miso,4099.54
Rotating: Mochi Donut Flavor,MD: Strawberry Shortcake,3865.3199999999997
Rotating: Mochi Donut Flavor,MD: Mango Float,3823.4
Rotating: Mochi Donut Flavor,MD: mazapán,3796.9800000000005
Rotating: Mochi Donut Flavor,MD: Matcha Strawberry Crunch,3753.01
Rotating: Mochi Donut Flavor,MD: Banana Milk,3731.51
Rotating: Mochi Donut Flavor,MD: Guava Cheesecake,3656.31
Rotating: Mochi Donut Flavor,MD: Strawberry Lychee Calpico,3622.4700000000003
Rotating: Mochi Donut Flavor,MD: strawberry Passion,3544.46
Rotating: Mochi Donut Flavor,MD: Ube,3478.37
Rotating: Mochi Donut Flavor,MD: Milk Tea,3453.31
Rotating: Mochi Donut Flavor,Hojicha mochi muffin,3405.78
Rotating: Mochi Donut Flavor,MD: Ube cheesecake,3360.95
Rotating: Mochi Donut Flavor,MD: Hojicha Strawberry,3357.73
Rotating: Mochi Donut Flavor,MD: Blackberry Yuzu,3357.22
Rotating: Mochi Donut Flavor,MD: Mango Peach,3351.16
Rotating: Mochi Donut Flavor,MD: White Peach Lychee,3336.65
Rotating: Mochi Donut Flavor,MD: Passionfruit Raspberry,3311.67
Rotating: Mochi Donut Flavor,MD: Twix,3307.1499999999996
Rotating: Mochi Donut Flavor,MD: Pineapple Cake,3293.31
Rotating: Mochi Donut Flavor,MD: Banana Cream Pie,3270.93
Rotating: Mochi Donut Flavor,MD: Mango Calamansi,3265.37
Rotating: Mochi Donut Flavor,MD: Ube Coconut,3261.37
Rotating: Mochi Donut Flavor,MD: P.O.G.,3255.67
Rotating: Mochi Donut Flavor,MD: Guava,3222.25
Rotating: Mochi Donut Flavor,MD: Fruity Pebbles,3162.71
Rotating: Mochi Donut Flavor,MD: Vietnamese Coffee,3147.1800000000003
Rotating: Mochi Donut Flavor,MD: Matcha Mango,3140.19
Rotating: Mochi Donut Flavor,MD: Strawberry Nesquik,3085.48
Rotating: Mochi Donut Flavor,MD: Hojicha Maple,3045.6400000000003
Rotating: Mochi Donut Flavor,MD: Cookies n Cream,3039.34
Rotating: Mochi Donut Flavor,MD: Lemon Cheesecake,3031.51
Rotating: Mochi Donut Flavor,MD: Chocolate Strawberry,3018.6400000000003
Rotating: Mochi Donut Flavor,MD: Thai Tea Cream,2987.78
Rotating: Mochi Donut Flavor,MD: Pandan Coconut,2919.87
Rotating: Mochi Donut Flavor,MD: Kinako,2825.41
Rotating: Mochi Donut Flavor,MD: matcha yuzu,2792.91
Rotating: Mochi Donut Flavor,MD: Milo,2777.23
Rotating: Mochi Donut Flavor,MD: Black sesame strawberrry,2731.21
Rotating: Mochi Donut Flavor,MD: Pineapple Mango,2703.79
Rotating: Mochi Donut Flavor,MD: Lemon Meringue,2609.78
Rotating: Mochi Donut Flavor,MD: Pretzel Dark Chocolate,2601.7
Rotating: Mochi Donut Flavor,MD: Turon,2586.55
Rotating: Mochi Donut Flavor,MD: Matcha Oreo,2552.52
Rotating: Mochi Donut Flavor,MD: Samoa,2541.75
Rotating: Mochi Donut Flavor,MD: Raspberry cheesecake,2459.1
Rotating: Mochi Donut Flavor,MD: Cinnamon Toast Crunch,2449.17
Rotating: Mochi Donut Flavor,MD: Berry Chantilly,2445.41
Rotating: Mochi Donut Flavor,MD: fruity Pebbles,2443.87
Rotating: Mochi Donut Flavor,MD: White Peach Yuzu,2427.07
Rotating: Mochi Donut Flavor,MD earl Grey Black Sesame,2423.75
Rotating: Mochi Donut Flavor,MD: Green Apple Caramel,2364.6800000000003
Rotating: Mochi Donut Flavor,MD: Almond Cookie,2330.82
Rotating: Mochi Donut Flavor,MD: Lemon Poppyseed,2285.15
Rotating: Mochi Donut Flavor,MD: Thai Tea,2284.96
Rotating: Mochi Donut Flavor,MD: Vietnamese Mocha,2235.88
Rotating: Mochi Donut Flavor,MD: Chocolate Covered Strawberry,2209.63
Rotating: Mochi Donut Flavor,MD : Yuzu calamasi,2207.1
Rotating: Mochi Donut Flavor,MD: Cookie Butter Espresso,2182.44
Rotating: Mochi Donut Flavor,MD: Chocolate Orange,2173.67
Rotating: Mochi Donut Flavor,MD: Black Sesame Jasmine,2162.64
Rotating: Mochi Donut Flavor,MD: Mango Sticky Rice,2154.03
Rotating: Mochi Donut Flavor,MD Strawberry Pistachio,2097.3
Rotating: Mochi Donut Flavor,MD: Cookie Butter Pie,2067.63
Rotating: Mochi Donut Flavor,MD: Guava Yuzu,2065.85
Rotating: Mochi Donut Flavor,MD: Ube N Cream,2052.23
Rotating: Mochi Donut Flavor,MD: Raspberry Tru Fru,1990.26
Rotating: Mochi Donut Flavor,MD: Jasmine sea salt,1982.39
Rotating: Mochi Donut Flavor,MD: Matcha Strawberry,1980.68
Rotating: Mochi Donut Flavor,MD: Pumpkin Cheesecake,1978.21
Rotating: Mochi Donut Flavor,MD: Oolong Honey,1975.94
Rotating: Mochi Donut Flavor,MD: Blackberry Lime,1969.58
Rotating: Mochi Donut Flavor,MD White Peach Guava,1946.52
Rotating: Mochi Donut Flavor,MD: Blueberry Crumble,1942.67
Rotating: Mochi Donut Flavor,MD: Biscoff,1940.04
Rotating: Mochi Donut Flavor,MD: Jasmine Tea,1939.96
Rotating: Mochi Donut Flavor,MD: Jasmine Oreo,1933.42
Rotating: Mochi Donut Flavor,MD: Pistachio Raspberry,1932.94
Rotating: Mochi Donut Flavor,MD: Blackberry Lime Shiso,1926.93
Rotating: Mochi Donut Flavor,MD: Blackberry,1924.26
Rotating: Mochi Donut Flavor,MD: Brown Butter Hojicha,1923.43
Rotating: Mochi Donut Flavor,MD: Honey Boricha,1916.6
Rotating: Mochi Donut Flavor,MD: Berry Pie,1905.59
Rotating: Mochi Donut Flavor,MD: Date Caramel,1898.32
Rotating: Mochi Donut Flavor,MD: Mango Passion Calpico,1872.47
Rotating: Mochi Donut Flavor,MD: Black Forest,1853.78
Rotating: Mochi Donut Flavor,MD: Blueberry Earl Grey,1847.67
Rotating: Mochi Donut Flavor,MD: Lucky Charms,1844.52
Rotating: Mochi Donut Flavor,Hojicha BB Cookie,1843.53
Rotating: Mochi Donut Flavor,MD: raspberry puff,1833.13
Rotating: Mochi Donut Flavor,MD: Raspberry Sakura,1832.34
Rotating: Mochi Donut Flavor,MD: Lemon Yuzu,1820.76
Rotating: Mochi Donut Flavor,MD: Jasmine strawberry,1810.03
Rotating: Mochi Donut Flavor,MD: Red Velvet,1802.85
Rotating: Mochi Donut Flavor,MD: Milo Krispy,1800.75
Rotating: Mochi Donut Flavor,MD Mango Yuzu,1778.72
Rotating: Mochi Donut Flavor,MD: Raspberry White Tea,1772.05
Rotating: Mochi Donut Flavor,MD: Chocolate Haupia,1768.11
Rotating: Mochi Donut Flavor,MD: Blueberry Pie,1765.4
Rotating: Mochi Donut Flavor,MD: Hojicha Hot Chocolate,1759.63
Rotating: Mochi Donut Flavor,MD: Lychee Yuzu,1748.57
Rotating: Mochi Donut Flavor,MD: Chocolate Passionfruit,1728.45
Rotating: Mochi Donut Flavor,MD: Blood Orange Cream,1724.14
Rotating: Mochi Donut Flavor,MD/white peaches N cream,1708.7
Rotating: Mochi Donut Flavor,MD: Strawberry yakult,1696.92
Rotating: Mochi Donut Flavor,MD: White Peach Calpico,1684.23
Rotating: Mochi Donut Flavor,MD: Banana Kick,1677.07
Rotating: Mochi Donut Flavor,MD: Passionfruit Matcha,1676.54
Rotating: Mochi Donut Flavor,MD: Mango Milk,1670.97
Rotating: Mochi Donut Flavor,MD: Banana Foster,1662.71
Rotating: Mochi Donut Flavor,MD: White Peach Lychee Lemon,1662.53
Rotating: Mochi Donut Flavor,MD: Ube Crunch,1653.41
Rotating: Mochi Donut Flavor,MD: Mango Orange,1653.39
Rotating: Mochi Donut Flavor,MD: Cafe de olla,1651.5
Rotating: Mochi Donut Flavor,MD: Hojicha Berry,1650.78
Rotating: Mochi Donut Flavor,MD: Cherry Calamansi,1649.03
Rotating: Mochi Donut Flavor,MD: Black Sesame Crumble,1645.17
Rotating: Mochi Donut Flavor,MD: Twix Choc,1644.34
Rotating: Mochi Donut Flavor,MD: Gingerbread n’ Cream,1635.1
Rotating: Mochi Donut Flavor,MD: Vietnamese Coffee n Cream,1635.01
Rotating: Mochi Donut Flavor,MD: Chocolate Mocha,1628.74
Rotating: Mochi Donut Flavor,MD Boo-Ube,1622.24
Rotating: Mochi Donut Flavor,MD: Strawberry milk,1622.22
Rotating: Mochi Donut Flavor,MD: Peach Cobbler,1620.23
Rotating: Mochi Donut Flavor,MD: Red Lemon Yuzu,1617.35
Rotating: Mochi Donut Flavor,MD: Jasmine Yuzu,1614.95
Rotating: Mochi Donut Flavor,MD: Jasmine Strawberry,1614.75
Rotating: Mochi Donut Flavor,MD: Strawb Passion,1604.07
Rotating: Mochi Donut Flavor,MD: Strawberry Drop,1598.64
Rotating: Mochi Donut Flavor,MD: Mango Tajin Lime,1597.05
Rotating: Mochi Donut Flavor,MD: Black Sesame Raspberry,1587.39
Rotating: Mochi Donut Flavor,MD: Baklava,1585.19
Rotating: Mochi Donut Flavor,MD: Ube macapuno,1583.12
Rotating: Mochi Donut Flavor,MD: birthday cake,1576.23
Rotating: Mochi Donut Flavor,MD: Banana Split,1575.7
Rotating: Mochi Donut Flavor,MD: Grapefruit Paloma,1573.26
Rotating: Mochi Donut Flavor,MD: Brown sugar injeolmi,1561.88
Rotating: Mochi Donut Flavor,MD Earl Grey Banana,1560.84
Rotating: Mochi Donut Flavor,MD: Pomegranate,1552.42
Rotating: Mochi Donut Flavor,MD: Mocha matcha,1548.92
Rotating: Mochi Donut Flavor,MD: Choco Strawberry,1543.48
Rotating: Mochi Donut Flavor,MD: Vanilla Macadamia,1536.14
Rotating: Mochi Donut Flavor,MD: Strawberry Lychee Shortcake,1532.23
Rotating: Mochi Donut Flavor,MD: Mugwort Strawberry,1527.59
Rotating: Mochi Donut Flavor,MD: Ube White Choco Macadamia,1527.55
Rotating: Mochi Donut Flavor,MD: Salted Caramel,1519.36
Rotating: Mochi Donut Flavor,MD: Coffee Caramel Pecan,1514.8
Rotating: Mochi Donut Flavor,MD: Blueberry Passionfruit,1511.81
Rotating: Mochi Donut Flavor,MD: blackberry keylime,1497.75
Rotating: Mochi Donut Flavor,MD: Honeydew,1484.2
Rotating: Mochi Donut Flavor,MD: Mint Oreo Chip,1483.64
Rotating: Mochi Donut Flavor,MD: Li Hing Mui Guava,1478.6
Rotating: Mochi Donut Flavor,MD: Banana Oreo,1472.79
Rotating: Mochi Donut Flavor,MD: Mango Passionfruit,1470.51
Rotating: Mochi Donut Flavor,MD: Dark Chocolate Acai,1454.41
Rotating: Mochi Donut Flavor,MD: peanut butter chocolate,1453.38
Rotating: Mochi Donut Flavor,MD: Raspberry Yogurt,1448.83
Rotating: Mochi Donut Flavor,MD: Matcha Chocolate,1441.83
Rotating: Mochi Donut Flavor,MD: Blue Raspberry,1436.83
Rotating: Mochi Donut Flavor,MD: Hojicha Tearamisu,1435.79
Rotating: Mochi Donut Flavor,MD: Pumpkin Hojicha Spice,1431.68
Rotating: Mochi Donut Flavor,MD: Bubulubu,1431.32
Rotating: Mochi Donut Flavor,MD: Chai,1430.45
Rotating: Mochi Donut Flavor,MD: Banana Coffee,1427.61
Rotating: Mochi Donut Flavor,MD: Taro,1423.95
Rotating: Mochi Donut Flavor,MD: Blueberry Lime,1423.67
Rotating: Mochi Donut Flavor,MD: Reese’s,1420.98
Rotating: Mochi Donut Flavor,MD: Vanilla Chai,1401.43
Rotating: Mochi Donut Flavor,MD: Passion Pear,1383.21
Rotating: Mochi Donut Flavor,MD: Abuelita,1382.68
Rotating: Mochi Donut Flavor,MD: Hibiscus,1372.23
Rotating: Mochi Donut Flavor,MD: Black Sesame Yuzu,1371.3
Rotating: Mochi Donut Flavor,MD: Black Sésame Jasmjne,1371.12
Rotating: Mochi Donut Flavor,MD: White Chocolate Yuzu,1364.46
Rotating: Mochi Donut Flavor,MD: Raspberry KeyLime Pie,1360.97
Rotating: Mochi Donut Flavor,MD: Matcha Lemon,1350.63
Rotating: Mochi Donut Flavor,MD: Hibiscus mango,1347.32
Rotating: Mochi Donut Flavor,MD: Choco Cardamom Pistachio,1345.6
Rotating: Mochi Donut Flavor,MD: Choco Pomegranate,1338.19
Rotating: Mochi Donut Flavor,MD: Mandarin Orange,1336.64
Rotating: Mochi Donut Flavor,MD: Jasmine Raspberry,1332.05
Rotating: Mochi Donut Flavor,MD:Cranberry Orange,1328.95
Rotating: Mochi Donut Flavor,MD: Guava Creamcheese,1326.06
Rotating: Mochi Donut Flavor,MD: Peppermint Bark,1325.85
Rotating: Mochi Donut Flavor,MD: apple pie,1315.07
Rotating: Mochi Donut Flavor,MD: Gingerbread Cookies & Cream,1307.27
Rotating: Mochi Donut Flavor,MD: Melona,1306.64
Rotating: Mochi Donut Flavor,MD: Blueberry Basil,1304.65
Rotating: Mochi Donut Flavor,MD: Choco Candy Cane,1302.06
Rotating: Mochi Donut Flavor,MD: Brown Sugar Caramel,1297.65
Rotating: Mochi Donut Flavor,MD: Lemon Lychee,1292.92
Rotating: Mochi Donut Flavor,MD: Mojito,1291.66
Rotating: Mochi Donut Flavor,MD: Raspberry Chocolate Chip,1289.72
Rotating: Mochi Donut Flavor,MD: Brown Sugar Maple,1285.46
Rotating: Mochi Donut Flavor,MD: Rosemary Honey Pear,1270.49
Rotating: Mochi Donut Flavor,MD: Cherry Garcia,1268.92
Rotating: Mochi Donut Flavor,MD: Pink Guava,1255.76
Rotating: Mochi Donut Flavor,MD: Pineapple Dole Whip,1255.17
Rotating: Mochi Donut Flavor,MD: Poached Pear,1253.18
Rotating: Mochi Donut Flavor,MD: Horchata,1247.42
Rotating: Mochi Donut Flavor,MD: Milk & Cookies,1243.56
Rotating: Mochi Donut Flavor,MD: Strawberry Lemon Cream,1243.44
Rotating: Mochi Donut Flavor,MD: Pandan Tiramisu,1241.72
Rotating: Mochi Donut Flavor,MD: Matcha white chocolate raspberry,1224.28
Rotating: Mochi Donut Flavor,MD: Mangonada,1218.58
Rotating: Mochi Donut Flavor,MD: coconut white chocolate,1213.03
Rotating: Mochi Donut Flavor,MD: Brown Butter Krispy,1207.05
Rotating: Mochi Donut Flavor,MD: Apple Cider,1205.5
Rotating: Mochi Donut Flavor,MD: Maple Pecan,1198.4
Rotating: Mochi Donut Flavor,MD: Jasmine Hojicha,1193.91
Rotating: Mochi Donut Flavor,MD: Sea Salt Cocoa Puffs,1193.28
Rotating: Mochi Donut Flavor,MD: Choco Sundae,1189.4399999999998
Rotating: Mochi Donut Flavor,MD: Hot Honey Cornbread,1181.88
Rotating: Mochi Donut Flavor,MD: Strawberry Cornflakes,1181.17
Rotating: Mochi Donut Flavor,MD: Chocolate Kettle Corn,1171.98
Rotating: Mochi Donut Flavor,MD: Spiced Apple Cider,1155.73
Rotating: Mochi Donut Flavor,MD: Peppermint Hot Cocoa,1150.79
Rotating: Mochi Donut Flavor,MD:brown Sugar Carmel,1148.17
Rotating: Mochi Donut Flavor,MD: Tart Blackberry,1148.09
Rotating: Mochi Donut Flavor,MD: Kiwi Lime,1126.22
Rotating: Mochi Donut Flavor,MD: Cherry White Choc Almond,1117.72
Rotating: Mochi Donut Flavor,MD: Coconut Choc Chip,1116.0
Rotating: Mochi Donut Flavor,MD: Peaches n' Cream,1114.05
Rotating: Mochi Donut Flavor,MD: Mocha Crunch,1113.18
Rotating: Mochi Donut Flavor,MD: Triple Corn,1105.13
Rotating: Mochi Donut Flavor,MD: Blueberry Acai,1101.85
Rotating: Mochi Donut Flavor,MD: Mango Pomegranate,1097.58
Rotating: Mochi Donut Flavor,MD: Pumpkin Pie,1091.5
Rotating: Mochi Donut Flavor,MD: Strawberry White Peach,1090.59
Rotating: Mochi Donut Flavor,MD: Rasp Shortcake,1078.77
Rotating: Mochi Donut Flavor,MD: Neapolitan,1073.81
Rotating: Mochi Donut Flavor,MD: Chocolate Krispy Treat,1066.28
Rotating: Mochi Donut Flavor,MD: Acai Bowl,1034.42
Rotating: Mochi Donut Flavor,MD: Orange Sherbert,1022.1
Rotating: Mochi Donut Flavor,MD: Sweet Corn Turtle Chip,1015.38
Rotating: Mochi Donut Flavor,MD: Injeolmi,1006.6
